name,uid,resource_type,water_fountain,bottle_filler,jug_filler,dog_fountain,latitude,longitude,address,city,state,zip_code,park,access,public_access_hours_open,public_access_hours_close,public_access_days,notes,data_source,point,supervisor_district,analysis_neighborhood,data_as_of,data_loaded_at,Neighborhoods,Current Police Districts,Current Supervisor Districts,Analysis Neighborhoods,Recreation and Parks Properties
Golden Gate Park - Section 6 - Drinking Fountain/Cooler,8316744123133191422,drinking_water,1,1,0,0,37.76718375,-122.50799350000001,501 Stanyan St,San Francisco,CA,94121,Golden Gate Park - Section 6,publicly_accessible,08:00:00,20:00:00,Daily,,rec,POINT (-122.5079935 37.767183752),4,Golden Gate Park,2024/07/23 12:28:50 PM,2024/10/10 10:40:59 AM,9,8,4,12,234
Pier 41,5833182095630630815,restroom,0,0,0,0,37.810489,-122.410821,Fishermans's Wharf,San Francisco,CA,94133,,publicly_accessible,07:00:00,22:00:00,Daily,Level 2 behind Swiss Louis,port,POINT (-122.410821 37.810489),3,North Beach,2024/10/04 01:51:23 PM,2024/10/10 10:40:59 AM,99,6,3,23,
Collis P. Huntington Park - Drinking Fountain/Cooler,186250953213713241,drinking_water,1,0,0,0,37.79207822,-122.41238227,1000 Taylor St,San Francisco,CA,94108,Collis P. Huntington Park,publicly_accessible,08:00:00,20:00:00,Daily,,rec,POINT (-122.412382269 37.792078223),3,Nob Hill,2024/07/23 12:28:50 PM,2024/10/10 10:40:59 AM,16,6,3,21,83
Exposition Space,8854434094038501850,restroom,0,0,0,0,37.80215891886645,-122.448793308729,3601 Lyon St,San Francisco,CA,94123,Palace of Fine Arts,publicly_accessible,08:00:00,20:00:00,Daily,,rec,POINT (-122.448793309 37.802158919),2,Marina,2024/08/13 04:58:33 PM,2024/10/10 10:40:59 AM,17,4,6,13,21
Rochambeau Clubhouse,3542277325770407957,restroom,0,0,0,0,37.78501370787081,-122.4845445288129,250 25th Ave,San Francisco,CA,94121,Rochambeau Playground,publicly_accessible,08:00:00,20:00:00,Daily,,rec,POINT (-122.484544529 37.785013708),1,Outer Richmond,2024/08/13 04:58:33 PM,2024/10/10 10:40:59 AM,2,8,4,29,25
Eureka Valley Rec Center - Drinking Fountain/Cooler,1867991016691673483,drinking_water,1,0,0,0,37.75991576,-122.43629271,100 Collingwood St,San Francisco,CA,94114,Eureka Valley Rec Center,publicly_accessible,08:00:00,20:00:00,Daily,,rec,POINT (-122.436292709 37.759915763),8,Castro/Upper Market,2024/07/23 12:28:50 PM,2024/10/10 10:40:59 AM,38,3,5,5,208
J.P. Murphy Playground - Drinking Fountain/Cooler,8972167931162373613,drinking_water,1,0,0,0,37.7515454,-122.46518978,1960 9th Ave,San Francisco,CA,94116,J.P. Murphy Playground,publicly_accessible,08:00:00,20:00:00,Daily,,rec,POINT (-122.465189783 37.751545398),7,Inner Sunset,2024/07/23 12:28:50 PM,2024/10/10 10:40:59 AM,45,10,8,14,178
Marina Green West Restroom,2186057952105917473,restroom,0,0,0,0,37.80567366353541,-122.44826248305823,1 Marina Green Dr,San Francisco,CA,94123,Yacht Harbor and Marina Green,publicly_accessible,08:00:00,20:00:00,Daily,,rec,POINT (-122.448262483 37.805673664),2,Marina,2024/08/13 04:58:33 PM,2024/10/10 10:40:59 AM,17,4,6,13,90
Restroom,6039249465726437224,restroom,0,0,0,0,37.738337578210796,-122.48372258791242,2680 28th Ave,San Francisco,CA,94132,Parkside Square,publicly_accessible,08:00:00,20:00:00,Daily,,rec,POINT (-122.483722588 37.738337578),4,Sunset/Parkside,2024/08/13 04:58:33 PM,2024/10/10 10:40:59 AM,40,10,7,35,217
Conservatory Restrooms,1863141825000065385,restroom,0,0,0,0,37.772607110210295,-122.46078915493447,501 Stanyan St,San Francisco,CA,94122,Golden Gate Park - Section 3,publicly_accessible,08:00:00,20:00:00,Daily,,rec,POINT (-122.460789155 37.77260711),1,Golden Gate Park,2024/08/21 02:15:01 PM,2024/10/10 10:40:59 AM,9,7,4,12,231
Booker T Washington Community Center,3961536016987241368,drinking_water,0,1,0,0,37.78413,-122.446083,820 Presidio Ave,San Francisco,CA,94115,,publicly_accessible,,,Daily,,puc,POINT (-122.446083 37.78413),5,Presidio Heights,2024/06/27 01:43:12 PM,2024/10/10 10:40:59 AM,103,8,11,31,
Ferry Buiding #2,5810037219590600417,restroom,0,0,0,0,37.79542,-122.39363,1 Ferry Building,San Francisco,CA,94111,,limited_access,07:00:00,22:00:00,Daily,On each end of the building,port,POINT (-122.39363 37.79542),3,Financial District/South Beach,2024/10/04 01:51:23 PM,2024/10/10 10:40:59 AM,108,6,3,8,
Restrooms,4704538265672570801,restroom,0,0,0,0,37.77236922545648,-122.44763869311575,501 Stanyan St,San Francisco,CA,94117,Golden Gate Park - Section 1,publicly_accessible,08:00:00,20:00:00,Daily,,rec,POINT (-122.447638693 37.772369225),5,Golden Gate Park,2024/08/21 02:15:01 PM,2024/10/10 10:40:59 AM,24,7,11,12,229
DiMaggio Path Drinking Fountain,4373518007282885684,drinking_water,1,0,0,0,37.802613,-122.41204768,,San Francisco,CA,,Joe DiMaggio Playground,publicly_accessible,08:00:00,20:00:00,Daily,,rec,POINT (-122.412047678 37.802612999),3,North Beach,2024/07/23 12:28:50 PM,2024/10/10 10:40:59 AM,106,6,3,23,195
Mission Pit Stop - 24th and Mission (JCDecaux),428360424932887128,restroom,0,0,0,0,37.7521752,-122.4185771,24th and Mission (JCDecaux),San Francisco,CA,,,publicly_accessible,,,,,pit_stop,POINT (-122.4185771 37.7521752),9,Mission,2024/10/10 10:39:51 AM,2024/10/10 10:40:59 AM,53,3,2,20,
Alioto Mini Park - Drinking Fountain/Cooler,1454139694767243355,drinking_water,1,0,0,0,37.758993849999996,-122.41823059,3460 20th St,San Francisco,CA,94110,Alioto Mini Park,limited_access,08:00:00,20:00:00,Daily,,rec,POINT (-122.41823059 37.758993853),9,Mission,2024/07/23 12:28:50 PM,2024/10/10 10:40:59 AM,53,3,2,20,147
Earl's Organic,8380650283006083838,drinking_water,0,1,1,0,37.744233,-122.398524,2102 Jerrold Ave,San Francisco,CA,94124,,publicly_accessible,,,Daily,,puc,POINT (-122.398524 37.744233),10,Bayview Hunters Point,2024/06/27 01:43:12 PM,2024/10/10 10:40:59 AM,85,2,9,1,
Drinking Fountain,3771773153208297311,drinking_water,1,1,0,0,37.71770229,-122.47036815,,San Francisco,CA,,Merced Heights Playground,publicly_accessible,08:00:00,20:00:00,Daily,,rec,POINT (-122.470368154 37.717702294),11,Oceanview/Merced/Ingleside,2024/07/23 12:28:50 PM,2024/10/10 10:40:59 AM,65,10,1,24,138
Golden Gate Heights Park - Drinking Fountain/Cooler,6254290286384879348,drinking_water,1,0,0,1,37.75014593,-122.46853687000001,2041 12th Ave,San Francisco,CA,94116,Golden Gate Heights Park,publicly_accessible,08:00:00,20:00:00,Daily,,rec,POINT (-122.468536867 37.750145934),7,Inner Sunset,2024/07/23 12:28:50 PM,2024/10/10 10:40:59 AM,44,10,8,14,48
Sava Pool,6788309698376928324,restroom,0,0,0,0,37.738477671991625,-122.47587521123421,2695 19th Ave,San Francisco,CA,94116,Carl Larsen Park,publicly_accessible,08:00:00,20:00:00,Daily,,rec,POINT (-122.475875211 37.738477672),4,Sunset/Parkside,2024/08/20 12:09:34 PM,2024/10/10 10:40:59 AM,40,10,7,35,154
Matthew Boxer Stadium,8899937437357167847,restroom,0,0,0,0,37.72617621720311,-122.44515610209349,51 Havelock St,San Francisco,CA,94112,Balboa Park,publicly_accessible,08:00:00,20:00:00,Daily,,rec,POINT (-122.445156102 37.726176217),11,Outer Mission,2024/08/20 12:09:34 PM,2024/10/10 10:40:59 AM,94,9,1,28,76
Pier 39,3249569504867891889,restroom,0,0,0,0,37.80914,-122.409882,2 Beach st,San Francisco,CA,94133,,publicly_accessible,07:00:00,22:00:00,Daily,Level 1 by Lids,port,POINT (-122.409882 37.80914),3,North Beach,2024/10/04 01:51:23 PM,2024/10/10 10:40:59 AM,99,6,3,23,
Drinking Fountain/Cooler,8488095972755365435,drinking_water,1,1,0,0,37.75150115,-122.42887883,,San Francisco,CA,,Noe Valley Town Square,publicly_accessible,08:00:00,20:00:00,Daily,,rec,POINT (-122.428878831 37.751501145),8,Noe Valley,2024/07/23 12:28:50 PM,2024/10/10 10:40:59 AM,84,3,5,22,191
Palega Playground - Drinking Fountain/Cooler,5191082697044474360,drinking_water,1,0,0,0,37.72890703,-122.40968717,500 Felton St,San Francisco,CA,94134,Palega Playground,limited_access,08:00:00,20:00:00,Daily,,rec,POINT (-122.40968717 37.728907033),9,Portola,2024/07/23 12:28:50 PM,2024/10/10 10:40:59 AM,91,2,2,25,130
